Name,Team,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB
Jhoan Duran,MIN,62.1,101.8,,,98.4,,,87.7,,,
Jordan Hicks,2 Tms,65.2,100.3,,91.5,100.2,,86.9,,,,
Félix Bautista,BAL,61,100,,88.6,99.6,,,86.7,,,
Carlos Hernández,KCR,70,99.3,,89.1,,,88.7,84.2,,,
Bobby Miller,LAD,124.1,99.1,,,98.8,88.2,89.7,80.6,,,
Aroldis Chapman,2 Tms,58.1,99.1,,90.4,101.1,94.7,88.1,,,,
Gregory Soto,PHI,60.1,98.9,,,98.2,91.2,88.1,,,,
Gregory Santos,CHW,66.1,98.8,,,98.8,,91.6,,,,
Brusdar Graterol,LAD,67.1,98.6,95.6,,98.7,,88.7,,,,
Hunter Greene,CIN,112,98.6,,,,91.4,87.6,,,,
Shintaro Fujinami,2 Tms,79,98.5,88.3,92.9,97.9,,84.5,75.4,,,
Reynaldo López,3 Tms,66,98.4,,,,88.6,88.1,81.2,,,
Hunter Harvey,WSN,60.2,98.4,,89.6,,,86.6,83.2,,,
Julian Merryweather,CHC,72,98.2,,,,81.6,87,,,,
Ryne Stanek,HOU,50.2,98.2,,89.2,,,88.6,,,,
Matt Brash,SEA,70.2,98.2,93.9,,98.6,87.8,88.9,86,,,
Jason Foley,DET,69,98.1,,,97.3,91.5,89,,,,
Sandy Alcantara,MIA,184.2,98.1,,,97.7,91.2,90,86.1,,,
Lucas Erceg,OAK,55,98,,,98,90.3,90,85.6,,,
Seranthony Domínguez,PHI,50,97.6,,,98.2,91.1,90.1,,,,
Luis García,SDP,59.2,97.6,95,88.4,97.4,,81.5,,,,
Bryan Abreu,HOU,72,97.6,,,97,,87.5,,,,
Eury Pérez,MIA,91.1,97.4,,,,89.6,86.3,81.1,,,
Spencer Strider,ATL,186.2,97.4,,,,87.1,85.7,,,,
Kyle Finnegan,WSN,69.1,97.4,,89.7,,,89.7,,,,
Clay Holmes,NYY,63,97.4,,,96.1,,86.5,,,,
Grayson Rodriguez,BAL,122,97.4,90,,,83.9,82.3,79.9,,,
Albert Abreu,NYY,59,97.3,,,97.5,88.4,87.8,,,,
Jeff Hoffman,PHI,52.1,97.2,,90.6,94.8,,87.9,,,,
Carlos Estévez,LAA,62.1,97.1,,,,89.6,88.3,,,,
Shane McClanahan,TBR,115,97,,,,87,89.5,83.7,,,
Jorge López,3 Tms,59,96.9,,,96.7,89,88.5,84,,,
Robert Stephenson,2 Tms,52.1,96.9,88.7,,,88.9,84.9,77.4,,,
Cionel Pérez,BAL,53.1,96.9,,,96.4,,84,83.7,,,
Josh Sborz,TEX,52.1,96.9,,,,,88.6,85.2,,,
Miguel Castro,ARI,64.2,96.9,,,96.8,91.5,83.8,,,,
Gerrit Cole,NYY,209,96.8,92.9,,,89.2,89.2,83.1,,,
Tanner Scott,MIA,78,96.8,,,,,89.4,,,,
Jesús Luzardo,MIA,178.2,96.8,91.5,,96.5,88.3,85.1,,,,
Shohei Ohtani,LAA,132,96.7,89.8,88,94.1,,83.7,75.6,,,
Jordan Romano,TOR,59,96.7,,,,,86.9,,,,
Huascar Brazobán,MIA,58.2,96.7,,,96.1,89.3,87.5,,,,
Andrés Machado,WSN,50,96.7,,,96,89.7,88.5,,,,
Luis Severino,NYY,89.1,96.6,91.7,,95.6,86.8,85.3,,,,
David Bednar,PIT,67.1,96.6,,91.7,,,,77.9,,,
Cole Ragans,2 Tms,96,96.6,91.7,,95.4,86.6,86.8,81.9,,,
Yennier Cano,BAL,72.2,96.5,,,96.3,90.9,87.5,,,,
Griffin Jax,MIN,65.1,96.5,92.1,,96.5,91.1,86.8,,,,
Tyler Glasnow,TBR,120,96.5,,,,92.1,90.2,84,,,
Mike Baumann,BAL,64.2,96.5,93.3,,,89,91,87.4,,,
Evan Phillips,LAD,61.1,96.5,93.1,,95.6,,85.4,,,,
Luis Castillo,SEA,197,96.4,,,96.1,88.5,85.8,,,,
Ian Hamilton,NYY,58,96.3,,,95.7,,88.2,,,,
Jordan Weems,WSN,54.2,96.3,,89.1,92.5,,87.4,,,,
Edward Cabrera,MIA,99.2,96.3,,,96.2,93,88.3,84.6,,,
Andre Pallante,STL,68,96.3,,,96.8,,87.7,77.1,,,
Taj Bradley,TBR,104.2,96.2,89,89.4,,,,79,,,
George Kirby,SEA,190.2,96.2,,84.8,95.9,86.9,86.3,81.9,,74.9,
Josh Winckowski,BOS,84.1,96.2,88.9,,96.4,92.9,85.6,80.5,,,
Alex Lange,DET,66,96.1,,,95.9,89.6,,87.1,,,
Rafael Montero,HOU,67.1,96.1,,,95.4,91.5,88.3,,,,
Luis L. Ortiz,PIT,86.2,96.1,92.3,,95.7,89.5,85.8,,,,
Luis Medina,OAK,109.2,96.1,,,95.5,87.4,85.3,79.7,,,
Pierce Johnson,2 Tms,62.2,96.1,,,,,88.3,85.6,,,
Kendall Graveman,2 Tms,66.1,96.1,,,96.1,88.6,87.2,81.6,,,
Génesis Cabrera,2 Tms,55.2,96,,,95.4,88.9,89.7,79.7,,,
Ryan Brasier,2 Tms,59.2,96,92,,96.2,80.4,85.2,,,,
A.J. Minter,ATL,64.2,96,89.6,,,86.8,,,,,
Jhony Brito,NYY,90.1,96,86.3,,96.1,88.9,81.5,,,,
José Cisnero,DET,59.1,96,89.8,,95.7,88.9,85.5,85.3,,,
Zack Wheeler,PHI,192,96,,,95.4,90.8,88,81.5,,,
Craig Kimbrel,PHI,69,96,,,,,85.6,86.3,,,
Yimi García,TOR,66,95.9,90.1,,95.4,88.6,83.6,,,,
Chris Martin,BOS,51.1,95.9,92.3,88.3,95.1,,85.3,,,,
Brandon Woodruff,MIL,67,95.9,,,95,85.8,86.8,82.9,,,
Caleb Ferguson,LAD,60.1,95.9,,,,,86.2,,,,
Kodai Senga,NYM,166.1,95.9,91,83.4,,,82.9,72.5,,,
A.J. Puk,MIA,56.2,95.9,,87.4,95.4,,84,,,,
Johan Oviedo,PIT,177.2,95.8,,,,88.1,88.2,81,,,
Wandy Peralta,NYY,54,95.8,,,95.9,89.1,88.8,,,,
Tarik Skubal,DET,80.1,95.8,,,95.9,84.3,87.6,76.5,,,
Emilio Pagán,MIN,69.1,95.8,87.7,85.9,,,,81.6,,,
Gavin Williams,CLE,82,95.8,,,,88.3,85,76.4,,,
Enyel De Los Santos,CLE,65.2,95.8,,,,88,84.2,,,,
Dylan Cease,CHW,177,95.8,,74.8,,,86.4,80.4,,,
Logan Gilbert,SEA,190.2,95.8,,85.6,94.4,,88.7,80.4,,,
Hunter Brown,HOU,155.2,95.7,,,95.9,88.2,91.3,83,,,
Keynan Middleton,2 Tms,50.2,95.7,,,,87.9,86,,,,
Jon Gray,TEX,157.1,95.7,,,,88.9,87.2,78.4,,,
Sam Hentges,CLE,52.1,95.7,,,95.4,,87.8,80,,,
Kevin Ginkel,ARI,65.1,95.7,,,94.9,,86.7,,,,
Brayan Bello,BOS,157,95.7,89.3,,95.2,86.4,85.5,84.2,,,
Blake Snell,SDP,180,95.7,,,,86.9,88.5,81.1,,,
Dominic Leone,3 Tms,54,95.7,92,,95.3,,85.4,,,,
Framber Valdez,HOU,198,95.7,89.4,,95.3,90.1,84.7,80.2,,,
Derek Law,CIN,55,95.7,92.2,,95.1,88.8,86.6,78.7,,,
Jake Diekman,2 Tms,56.2,95.6,89.1,,95.3,88,83.8,,,,
Adbert Alzolay,CHC,64,95.5,90.7,,95.4,88.2,87.1,,,,
Corbin Burnes,MIL,193.2,95.5,94.4,,95.3,89.3,86.1,79.9,,,
Carlos Rodón,NYY,64.1,95.5,,,,85.6,85.6,80,,,
Joel Payamps,MIL,70.2,95.5,,,95.3,89.1,84.2,,,,
Michael Kopech,CHW,129.1,95.4,,,,88.8,85,81.1,,,
Joe Jiménez,ATL,56.1,95.4,,,,89.9,84.4,,,,
Emmet Sheehan,LAD,60.1,95.4,,,,82.9,85.7,,,,
Louie Varland,MIN,68,95.3,,,95.5,85.9,87.7,,,,
Ian Gibaut,CIN,75.2,95.3,91.7,,,86.2,84.3,,,,
James Paxton,BOS,96,95.3,,,94.5,84.5,85.8,81.3,,,
Nathan Eovaldi,TEX,144,95.3,90.7,88,,,83.9,76.1,,,
Drew Smith,NYM,56.1,95.3,,,,85.5,84.5,76.9,,,
Mitch Keller,PIT,194.1,95.3,89.7,,93.9,90.7,82.8,78.1,,,
Dauri Moreta,PIT,58,95.3,,,,86,84.7,,,,
Ryan Weathers,2 Tms,57.2,95.2,,,,87,80.9,,,,
Gabe Speier,SEA,54.2,95.2,,,94.4,88.5,84.5,,,,
Tylor Megill,NYM,126.1,95.2,,86.5,,88.1,84.6,77.3,,,
Bryan Woo,SEA,87.2,95.2,87.7,,95,89.7,83.1,,,,
José Leclerc,TEX,57,95.1,90.1,,95.2,88.3,82.7,73.7,,,
Trevor Stephan,CLE,68.2,95.1,,86.7,,,85.6,,,,
Raisel Iglesias,ATL,55.2,95.1,,,94.7,89.4,84.5,,,,
MacKenzie Gore,WSN,136.1,95.1,,,,86.6,88.5,83.3,,,
Bryce Miller,SEA,131.1,95.1,86.6,,95.1,85,81.2,78.3,,,
Yusei Kikuchi,TOR,167.2,95.1,89.9,,92.6,88.7,87.2,82.4,,,
Alex Cobb,SFG,151.1,95.1,,89.4,94.4,,86.1,83.5,,,
